Zona,CX,CY,CZ
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,0.44,15,0.15
Escalones,0.45,15,0.30
Escalones,0.87,15,0.30
Escalones,0.87,15,0.30
Escalones,0.88,15,0.45
Escalones,1.31,15,0.45
Escalones,1.31,15,0.45
Escalones,1.32,15,0.60
Escalones,1.74,15,0.60
Escalones,1.74,15,0.60
Escalones,1.75,15,0.75
Escalones,2.18,15,0.75
Escalones,2.18,15,0.75
Escalones,2.19,15,0.90
Escalones,2.61,15,0.90
Escalones,2.61,15,0.90
Escalones,2.62,15,1.05
Escalones,3.05,15,1.05
Escalones,3.05,15,1.05
Escalones,3.06,15,1.20
Escalones,3.49,15,1.20
Escalones,3.49,15,1.20
Escalones,3.50,15,1.35
Escalones,3.92,15,1.35
Escalones,3.92,15,1.35
Escalones,3.93,15,1.50
Escalones,4.36,15,1.50
Escalones,4.36,15,1.50
Escalones,4.37,15,1.65
Escalones,4.79,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
