LineID,CulvertGroup,LineField,SortField,CXm,Cym,CZBateam,CZClavem,CZEjem,Lengthm,Diameterm,River,Reach,RS,Connection,Barrel,
99,AlcSecundIzq,50,0,1078779.00,1572691.53,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A50,
100,AlcSecundIzq,50,1,1078719.74,1572675.45,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A51,
101,AlcSecundIzq,51,0,1078778.42,1572693.66,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A51,
102,AlcSecundIzq,51,1,1078719.16,1572677.59,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A52,
103,AlcSecundIzq,52,0,1078777.84,1572695.80,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A52,
104,AlcSecundIzq,52,1,1078718.58,1572679.72,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A53,
105,AlcSecundIzq,53,0,1078777.26,1572697.94,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A53,
106,AlcSecundIzq,53,1,1078718.00,1572681.86,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A54,
107,AlcSecundIzq,54,0,1078776.68,1572700.08,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A54,
108,AlcSecundIzq,54,1,1078717.42,1572684.00,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A55,
109,AlcSecundIzq,55,0,1078776.10,1572702.21,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A55,
110,AlcSecundIzq,55,1,1078716.84,1572686.14,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A56,
111,AlcSecundDer,56,0,1078727.13,1572882.68,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A56,
112,AlcSecundDer,56,1,1078667.87,1572866.60,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A57,
113,AlcSecundDer,57,0,1078727.71,1572880.54,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A57,
114,AlcSecundDer,57,1,1078668.45,1572864.46,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A58,
115,AlcSecundDer,58,0,1078728.29,1572878.41,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A58,
116,AlcSecundDer,58,1,1078669.03,1572862.33,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A59,
117,AlcSecundDer,59,0,1078728.87,1572876.27,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A59,
118,AlcSecundDer,59,1,1078669.61,1572860.19,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A60,
119,AlcSecundDer,60,0,1078729.45,1572874.13,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A60,
120,AlcSecundDer,60,1,1078670.19,1572858.05,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A61,
121,AlcSecundDer,61,0,1078730.03,1572871.99,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A61,
122,AlcSecundDer,61,1,1078670.77,1572855.92,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A62,
123,AlcSecundDer,62,0,1078730.61,1572869.86,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A62,
124,AlcSecundDer,62,1,1078671.35,1572853.78,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A63,
